OBJECTID,Join_Count,TARGET_FID,Source,OutletID,Name,Address,Parish,PlusCode,Latitude,Longitude,Category,Healthy,BusinessOnGoogleMaps,Notes,OBJECTID_1,ID3,ENUM_NO1,PARISHNAM1,POPULATION,MALES,FEMALE,PARISH,OUTLET_Cat,Unhealthy1,Healthy1
65,1,65,Find Yello Directory,R92,Fresh Spot,"Sheraton Mall, Sargents Village, Chirst Church",Chirst Church,78523CMM+7C,13.083188,-59.566437,Limited Service,Unhealthy,yes,,382,383,233,Christ Churc,206,99,107,Christ Churc,Limited Service,1,0
66,1,66,Find Yello Directory,R93,Fusiliers Bar & Grill,"Fusilier Road, Gun Hill, St. George",St. George,78524CVV+82,13.143313,-59.557437,Limited Service,Unhealthy,yes,,455,456,325,St. George,691,329,362,St. George,Limited Service,1,0
67,1,67,Find Yello Directory,R94,Fusion Rooftop,"Limegrove Lifestyle Centre, Holetown, St. James",St. James,785259P7+JJ,13.186563,-59.635938,Full Service,Healthy,yes,,193,193,439,St. James,258,124,134,St. James,Full Service,0,0
68,1,68,Find Yello Directory,R95,Gloden China Restaurant,"Quayside Centre Shopping Plaza, Rockley Terrace, Christ Church",Chirst Church,78523CG6+37,13.075188,-59.589312,Limited Service,Unhealthy,yes,,351,352,198,Christ Churc,320,146,174,Christ Churc,Limited Service,1,0
69,1,69,Find Yello Directory,R96,Good Choice Chinese Restaurant,"Holetown, St. James",St. James,785259M8+62,13.183063,-59.634937,Limited Service,Unhealthy,yes,,195,195,441,St. James,174,83,91,St. James,Limited Service,1,0
70,1,70,Find Yello Directory,R97,Grannys,"Oistins Main Road, Oistins, Christ Church",Christ Church,78523F75+F7,13.063688,-59.541812,Limited Service,Unhealthy,yes,,423,424,290,Christ Churc,323,161,162,Christ Churc,Limited Service,1,0
71,1,71,Find Yello Directory,R99,Guang Dong Chinese Restaurant & Bar,"Worthing Main Road, Christ Church",Christ Church,78523CCC+3P,13.070187,-59.578187,Limited Service,Unhealthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Limited Service,1,0
72,1,72,Find Yello Directory,R101,Happy Days Cafe,"Chattel House Village, St. Lawrence Gap, Christ Church",Chirst Church,78523C8J+XF,13.067438,-59.568812,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
73,1,73,Find Yello Directory,R102,Happy Rooster Barbeque Grill,"Highway 2, Black Rock, St. Michael",St. Michael,7852498P+H7,13.116437,-59.614313,Limited Service,Unhealthy,yes,,75,75,97,St. Michael,299,137,162,St. Michael,Limited Service,1,0
74,1,74,Find Yello Directory,R103,Harlequin Restaurant,"St. Lawrence Gap, Oistins, Christ Church",Christ Church,78523C9G+2F,13.067563,-59.573813,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
75,1,75,Find Yello Directory,R104,Ho Kwong Chinese Restaurant- Dome Mall,"Dome Mall, Warrens, St. Michael",St. Michael,785249RV+F3,13.141188,-59.607312,Limited Service,Unhealthy,yes,,154,154,74,St. Michael,563,286,277,St. Michael,Limited Service,1,0
76,1,76,Find Yello Directory,R107,Hoodees Sports Bar & Grill,Six Roads. St. Philip,St. Philip,78524G9C+2X,13.117563,-59.477563,Limited Service,Unhealthy,yes,,571,572,359,St. Philip,369,179,190,St. Philip,Limited Service,1,0
77,1,77,Find Yello Directory,R108,Hot Legendary Fish Cakes,"Holligan Road, Bank Hall, St. Michael",St. Michael,7852495Q+JH,13.109063,-59.611063,Limited Service,Unhealthy,yes,,90,90,112,St. Michael,390,194,196,St. Michael,Limited Service,1,0
78,1,78,Find Yello Directory,R109,Hugo's Barbados,"Sand Street, Speightstown, St. Peter",St. Peter,78527934+64,13.253063,-59.644688,Full Service,Healthy,yes,,272,272,538,St. Peter,470,233,237,St. Peter,Full Service,0,0
79,1,79,Find Yello Directory,R110,Ideal Restaurant,"2nd Floor, Bridgetown Duty Free, Bridgetown, St. Michael",St. Michael,785239WM+XW,13.097437,-59.615188,Full Service,Healthy,yes,,6,6,6,St. Michael,355,190,165,St. Michael,Full Service,0,0
80,1,80,Find Yello Directory,R111,Il Tempio Italian Restaurant,"Highway 1, Fitts Village, St. James",St. James,785249W6+9J,13.145938,-59.638438,Full Service,Healthy,yes,,329,330,478,St. James,170,84,86,St. James,Full Service,0,0
81,1,81,Find Yello Directory,R112,Indian Grill (Roti Shop),"Bay Street, Bridgetown, St. Micheal",St. Michael,785239MR+4R,13.082812,-59.607937,Limited Service,Unhealthy,yes,,126,126,148,St. Michael,158,76,82,St. Michael,Limited Service,1,0
82,1,82,Find Yello Directory,R113,Irie Kitchens Limited,"2nd Avenue, Dover, Christ Church",Christ Church,78523C8M+Q7,13.066937,-59.566813,Limited Service,Unhealthy,yes,,374,375,224,Christ Churc,237,111,126,Christ Churc,Limited Service,1,0
83,1,83,Find Yello Directory,R114,IV Play Deli,"Sheraton Mall, Sargents Village, Christ Church",Christ Church,78523CMM+49,13.082812,-59.566563,Limited Service,Unhealthy,yes,,382,383,233,Christ Churc,206,99,107,Christ Churc,Limited Service,1,0
84,1,84,Find Yello Directory,R115,Ixora Bar & Restaurant at Gloden Sands Hotel,"Golden Sands Hotel, Highway 7, Maxwell, Christ Church",Christ Church,78523C8X+P4,13.066813,-59.552188,Full Service,Healthy,yes,,378,379,228,Christ Churc,334,163,171,Christ Churc,Full Service,0,0
85,1,85,Find Yello Directory,R117,Jamaica 246,"Bay Street, Bridgetown, St. Micheal",St. Michael,785239MR+3Q,13.082688,-59.608063,Limited Service,Unhealthy,yes,,126,126,148,St. Michael,158,76,82,St. Michael,Limited Service,1,0
86,1,86,Find Yello Directory,R118,Ju Ju 's ,"Highway 1B, Mount Standfast, St. James",St. James,78526935+RX,13.204562,-59.640062,Full Service,Healthy,yes,,186,186,430,St. James,164,82,82,St. James,Full Service,0,0
87,1,87,Find Yello Directory,R119,Jumas Restaurant,"Alleynes Bay, Mount Standfast, St. James",St. James,78526946+82,13.205813,-59.639938,Full Service,Healthy,yes,,186,186,430,St. James,164,82,82,St. James,Full Service,0,0
88,1,88,Find Yello Directory,R120,Jus' Grillin'- Quayside,"Quayside Centre Shopping Plaza, Rockley, Christ Church",Christ Church,78523CG6+26,13.075062,-59.589438,Limited Service,Unhealthy,yes,,351,352,198,Christ Churc,320,146,174,Christ Churc,Limited Service,1,0
89,1,89,Find Yello Directory,R121,Jus' Grillin'- Holetown,"Highway 1, Holetown, St. James",St. James,785259M6+8M,13.183312,-59.638313,Limited Service,Unhealthy,yes,,195,195,441,St. James,174,83,91,St. James,Limited Service,1,0
90,1,90,Find Yello Directory,R123,KFC- Hastings,"Hastings Main Road, Christ Church",Christ Church,78523CF4+HF,13.073937,-59.593812,Limited Service,Unhealthy,yes,,339,340,186,Christ Churc,222,113,109,Christ Churc,Limited Service,1,0
91,1,91,Find Yello Directory,R124,KFC- Oistins,"Oistins Main Road, Christ Church",Christ Church,78523F75+C4,13.063562,-59.542188,Limited Service,Unhealthy,yes,,423,424,290,Christ Churc,323,161,162,Christ Churc,Limited Service,1,0
92,1,92,Find Yello Directory,R125,KFC-Speightstown,"Queen's Street, Speightstown, St. Peter",St. Peter,785269X4+MR,13.249187,-59.642938,Limited Service,Unhealthy,yes,,272,272,538,St. Peter,470,233,237,St. Peter,Limited Service,1,0
93,1,93,Find Yello Directory,R126,KFC- Blackrock,"Black Rock Main Road, St. Michael",St. Michael,785249GC+WQ,13.127313,-59.628062,Limited Service,Unhealthy,yes,,14,14,15,St. Michael,388,172,216,St. Michael,Limited Service,1,0
94,1,94,Find Yello Directory,R127,KFC-Warrens,"Gordon Cummins Highway, Warrens, St. Michael",St. Michael,785249RQ+MW,13.141687,-59.610187,Limited Service,Unhealthy,yes,,154,154,74,St. Michael,563,286,277,St. Michael,Limited Service,1,0
95,1,95,Find Yello Directory,R128,KFC- Collymore Rock,"Princess Royal Avenue, Upper Collymore Rock, St. Michael",St. Michael,78523CV5+93,13.093438,-59.592312,Limited Service,Unhealthy,yes,,132,132,155,St. Michael,526,235,291,St. Michael,Limited Service,1,0
96,1,96,Find Yello Directory,R131,Lancaster Great House,"Ronald Mapp Highway, St. James",St. James,7852693J+9J,13.203437,-59.618437,Full Service,Healthy,yes,,192,192,438,St. James,268,124,144,St. James,Full Service,0,0
97,1,97,Find Yello Directory,R132,La Salsa Restaurant and Bar,"Sugar Cane Club Hotel, 2nd Avenue, Sunset Heights, St. Peter",St. Peter,78527977+CP,13.263562,-59.635688,Full Service,Healthy,yes,,269,269,534,St. Peter,251,125,126,St. Peter,Full Service,0,0
98,1,98,Find Yello Directory,R133,L'azure Restaurant,"Crane Resort, Cane, St. Philip",St. Philip,78524H43+7W,13.105688,-59.445188,Full Service,Healthy,yes,,492,493,379,St. Philip,144,71,73,St. Philip,Full Service,0,0
99,1,99,Find Yello Directory,R134,Lemongrass Express,"Worthing Main Road, Christ Church",Christ Church,78523CC8+MV,13.071687,-59.582813,Limited Service,Unhealthy,yes,,352,353,199,Christ Churc,75,32,43,Christ Churc,Limited Service,1,0
100,1,100,Find Yello Directory,R135,Lemongrass Noodle Bar & Grill,"Limegrove Lifestyle Centre, Holetown, St. James",St. James,785259P7+WM,13.187313,-59.635813,Full Service,Healthy,yes,,193,193,439,St. James,258,124,134,St. James,Full Service,0,0
101,0,101,Find Yello Directory,R136,Lexie Bar,"Oistins Main Road, Chirst Church",Christ Church,78523F74+CP,13.063562,-59.543188,Limited Service,Unhealthy,yes,,,,,,,,,,Limited Service,1,0
102,1,102,Find Yello Directory,R139,Lobster Alive & Limited,"Bay Street, Bridgetown, St. Michael",St. Michael,785239VQ+27,13.092562,-59.611812,Full Service,Healthy,yes,,1,1,1,St. Michael,401,193,208,St. Michael,Full Service,0,0
103,1,103,Find Yello Directory,R140,Lone Start Restaurant & Hotel,"Highway 1B, Mount Standfast, St. James ",St. James,78526946+42,13.205312,-59.639938,Full Service,Healthy,yes,,186,186,430,St. James,164,82,82,St. James,Full Service,0,0
104,1,104,Find Yello Directory,R141,Low Tide Cafe,"Bay Street, Bridgetown, St. Michael",St. Michael,785239RR+78,13.090687,-59.609188,Limited Service,Unhealthy,yes,,109,109,131,St. Michael,478,232,246,St. Michael,Limited Service,1,0
